data,tipo_investimento,ativo,quantidade,preco_unitario,valor_total
2024-01-15,Ações,PETR4,100,35.50,3550.00
2024-01-20,Tesouro Direto,Tesouro IPCA+,1,1200.00,1200.00
2024-02-10,FII,HGLG11,50,165.80,8290.00
2024-02-15,Ações,VALE3,80,68.90,5512.00
2024-03-01,CDB,CDB Banco Inter,1,5000.00,5000.00
2024-03-10,Ações,ITUB4,150,28.45,4267.50
2024-03-20,FII,XPML11,100,115.30,11530.00
2024-04-05,Tesouro Direto,Tesouro Selic,2,1150.00,2300.00
2024-04-15,Ações,BBDC4,200,14.85,2970.00
2024-05-01,FII,KNSC11,75,128.90,9667.50
2024-05-10,Ações,WEGE3,60,38.20,2292.00
2024-05-20,CDB,CDB Nubank,1,3000.00,3000.00
2024-06-01,Ações,MGLU3,120,5.45,654.00
2024-06-15,FII,VISC11,80,112.50,9000.00
2024-07-01,Tesouro Direto,Tesouro Prefixado,1,1050.00,1050.00
